,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
120,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)",,,,,,,,,,,,,
121,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)",,,,,,,,,,,,,
122,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(3.1622776601683795, 18.0, 6)","(0.0, 33.5, 7)","(0.0, 53.0, 8)","(0.0, 30.0, 9)",,,,,,,,,,
123,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)",,,,,,,,,,,,,
124,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)",,,,,,,,,,,,,
125,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)",,,,,,,,,,,,,
126,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)",,,,,,,,,,,,,
127,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)",,,,,,,,,,,,,
128,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)",,,,,,,,,,,,,
129,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)",,,,,,,,,,,,,
130,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)",,,,,,,,,,,,,
131,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)",,,,,,,,,,,,,
132,"(0.0, 8.5, 4)","(0.0, 50.5, 5)","(0.0, 18.0, 6)",,,,,,,,,,,,,
133,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
134,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
135,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
136,"(0.0, 50.5, 5)","(18.867962264113206, 18.0, 6)","(0.0, 33.5, 7)","(0.0, 53.0, 8)","(0.0, 30.0, 9)",,,,,,,,,,,
137,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
138,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
139,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
140,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
141,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
142,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
143,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
144,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
145,"(0.0, 50.5, 5)","(0.0, 18.0, 6)","(0.0, 33.5, 7)",,,,,,,,,,,,,
